ID,UF,Município
3047,MG,Tarumirim
3048,MG,Teixeiras
3049,MG,Teófilo Otoni
3050,MG,Timóteo
3051,MG,Tiradentes
3052,MG,Tiros
3053,MG,Tocantins
3054,MG,Tocos do Moji
3055,MG,Toledo
3056,MG,Tombos
3057,MG,Três Corações
3058,MG,Três Marias
3059,MG,Três Pontas
3060,MG,Tumiritinga
3061,MG,Tupaciguara
3062,MG,Turmalina
3063,MG,Turvolândia
3064,MG,Ubá
3065,MG,Ubaí
3066,MG,Ubaporanga
3067,MG,Uberaba
3068,MG,Uberlândia
3069,MG,Umburatiba
3070,MG,Unaí
3071,MG,União de Minas
3072,MG,Uruana de Minas
3073,MG,Urucânia
3074,MG,Urucuia
3075,MG,Vargem Alegre
3076,MG,Vargem Bonita
3077,MG,Vargem Grande do Rio Pardo
3078,MG,Varginha
3079,MG,Varjão de Minas
3080,MG,Várzea da Palma
3081,MG,Varzelândia
3082,MG,Vazante
3083,MG,Verdelândia
3084,MG,Veredinha
3085,MG,Veríssimo
3086,MG,Vermelho Novo
3087,MG,Vespasiano
3088,MG,Viçosa
3089,MG,Vieiras
3090,MG,Mathias Lobato
3091,MG,Virgem da Lapa
3092,MG,Virgínia
3093,MG,Virginópolis
3094,MG,Virgolândia
3095,MG,Visconde do Rio Branco
3096,MG,Volta Grande
3097,MG,Wenceslau Braz
3098,ES,Afonso Cláudio
3099,ES,Águia Branca
3100,ES,Água Doce do Norte
3101,ES,Alegre
3102,ES,Alfredo Chaves
3103,ES,Alto Rio Novo
3104,ES,Anchieta
3105,ES,Apiacá
3106,ES,Aracruz
3107,ES,Atilio Vivacqua
3108,ES,Baixo Guandu
3109,ES,Barra de São Francisco
3110,ES,Boa Esperança
3111,ES,Bom Jesus do Norte
3112,ES,Brejetuba
3113,ES,Cachoeiro de Itapemirim
3114,ES,Cariacica
3115,ES,Castelo
3116,ES,Colatina
3117,ES,Conceição da Barra
3118,ES,Conceição do Castelo
3119,ES,Divino de São Lourenço
3120,ES,Domingos Martins
3121,ES,Dores do Rio Preto
3122,ES,Ecoporanga
3123,ES,Fundão
3124,ES,Governador Lindenberg
3125,ES,Guaçuí
3126,ES,Guarapari
3127,ES,Ibatiba
3128,ES,Ibiraçu
3129,ES,Ibitirama
3130,ES,Iconha
3131,ES,Irupi
3132,ES,Itaguaçu
3133,ES,Itapemirim
3134,ES,Itarana
3135,ES,Iúna
3136,ES,Jaguaré
3137,ES,Jerônimo Monteiro
3138,ES,João Neiva
3139,ES,Laranja da Terra
3140,ES,Linhares
3141,ES,Mantenópolis
3142,ES,Marataízes
3143,ES,Marechal Floriano
3144,ES,Marilândia
3145,ES,Mimoso do Sul
3146,ES,Montanha
3147,ES,Mucurici
3148,ES,Muniz Freire
3149,ES,Muqui
3150,ES,Nova Venécia
3151,ES,Pancas
3152,ES,Pedro Canário
3153,ES,Pinheiros
3154,ES,Piúma
3155,ES,Ponto Belo
3156,ES,Presidente Kennedy
3157,ES,Rio Bananal
3158,ES,Rio Novo do Sul
3159,ES,Santa Leopoldina
3160,ES,Santa Maria de Jetibá
3161,ES,Santa Teresa
3162,ES,São Domingos do Norte
3163,ES,São Gabriel da Palha
3164,ES,São José do Calçado
3165,ES,São Mateus
3166,ES,São Roque do Canaã
3167,ES,Serra
3168,ES,Sooretama
3169,ES,Vargem Alta
3170,ES,Venda Nova do Imigrante
3171,ES,Viana
3172,ES,Vila Pavão
3173,ES,Vila Valério
3174,ES,Vila Velha
3175,ES,Vitória
3176,RJ,Angra Dos Reis
3177,RJ,Aperibé
3178,RJ,Araruama
3179,RJ,Areal
3180,RJ,Armação Dos Búzios
3181,RJ,Arraial do Cabo
3182,RJ,Barra do Piraí
3183,RJ,Barra Mansa
3184,RJ,Belford Roxo
3185,RJ,Bom Jardim
3186,RJ,Bom Jesus do Itabapoana
3187,RJ,Cabo Frio
3188,RJ,Cachoeiras de Macacu
3189,RJ,Cambuci
3190,RJ,Carapebus
3191,RJ,Comendador Levy Gasparian
3192,RJ,Campos Dos Goytacazes
3193,RJ,Cantagalo
3194,RJ,Cardoso Moreira
3195,RJ,Carmo
3196,RJ,Casimiro de Abreu
3197,RJ,Conceição de Macabu
3198,RJ,Cordeiro
3199,RJ,Duas Barras
3200,RJ,Duque de Caxias
3201,RJ,Engenheiro Paulo de Frontin
3202,RJ,Guapimirim
3203,RJ,Iguaba Grande
3204,RJ,Itaboraí
3205,RJ,Itaguaí
3206,RJ,Italva
3207,RJ,Itaocara
3208,RJ,Itaperuna
3209,RJ,Itatiaia
3210,RJ,Japeri
3211,RJ,Laje do Muriaé
3212,RJ,Macaé
3213,RJ,Macuco
3214,RJ,Magé
3215,RJ,Mangaratiba
3216,RJ,Maricá
3217,RJ,Mendes
3218,RJ,Mesquita
3219,RJ,Miguel Pereira
3220,RJ,Miracema
3221,RJ,Natividade
3222,RJ,Nilópolis
3223,RJ,Niterói
3224,RJ,Nova Friburgo
3225,RJ,Nova Iguaçu
3226,RJ,Paracambi
3227,RJ,Paraíba do Sul
3228,RJ,Parati
3229,RJ,Paty do Alferes
3230,RJ,Petrópolis
3231,RJ,Pinheiral
3232,RJ,Piraí
3233,RJ,Porciúncula
3234,RJ,Porto Real
3235,RJ,Quatis
3236,RJ,Queimados
3237,RJ,Quissamã
3238,RJ,Resende
3239,RJ,Rio Bonito
3240,RJ,Rio Claro
3241,RJ,Rio Das Flores
3242,RJ,Rio Das Ostras
3243,RJ,Rio de Janeiro
3244,RJ,Santa Maria Madalena
3245,RJ,Santo Antônio de Pádua
3246,RJ,São Francisco de Itabapoana
3247,RJ,São Fidélis
3248,RJ,São Gonçalo
3249,RJ,São João da Barra
3250,RJ,São João de Meriti
3251,RJ,São José de Ubá
3252,RJ,São José do Vale do Rio Preto
3253,RJ,São Pedro da Aldeia
3254,RJ,São Sebastião do Alto
3255,RJ,Sapucaia
3256,RJ,Saquarema
3257,RJ,Seropédica
3258,RJ,Silva Jardim
3259,RJ,Sumidouro
3260,RJ,Tanguá
3261,RJ,Teresópolis
3262,RJ,Trajano de Morais
3263,RJ,Três Rios
3264,RJ,Valença
3265,RJ,Varre-sai
3266,RJ,Vassouras
3267,RJ,Volta Redonda
3268,SP,Adamantina
3269,SP,Adolfo
3270,SP,Aguaí
3271,SP,Águas da Prata
3272,SP,Águas de Lindóia
3273,SP,Águas de Santa Bárbara
3274,SP,Águas de São Pedro
3275,SP,Agudos
3276,SP,Alambari
3277,SP,Alfredo Marcondes
3278,SP,Altair
3279,SP,Altinópolis
3280,SP,Alto Alegre
3281,SP,Alumínio
3282,SP,Álvares Florence
3283,SP,Álvares Machado
3284,SP,Álvaro de Carvalho
3285,SP,Alvinlândia
3286,SP,Americana
3287,SP,Américo Brasiliense
3288,SP,Américo de Campos
3289,SP,Amparo
3290,SP,Analândia
3291,SP,Andradina
3292,SP,Angatuba
3293,SP,Anhembi
3294,SP,Anhumas
3295,SP,Aparecida
3296,SP,Aparecida D´oeste
3297,SP,Apiaí
3298,SP,Araçariguama
3299,SP,Araçatuba
3300,SP,Araçoiaba da Serra
3301,SP,Aramina
3302,SP,Arandu
3303,SP,Arapeí
3304,SP,Araraquara
3305,SP,Araras
3306,SP,Arco-íris
3307,SP,Arealva
3308,SP,Areias
3309,SP,Areiópolis
3310,SP,Ariranha
3311,SP,Artur Nogueira
3312,SP,Arujá
3313,SP,Aspásia
3314,SP,Assis
3315,SP,Atibaia
3316,SP,Auriflama
3317,SP,Avaí
3318,SP,Avanhandava
3319,SP,Avaré
3320,SP,Bady Bassitt
3321,SP,Balbinos
3322,SP,Bálsamo
3323,SP,Bananal
3324,SP,Barão de Antonina
3325,SP,Barbosa
3326,SP,Bariri
3327,SP,Barra Bonita
3328,SP,Barra do Chapéu
3329,SP,Barra do Turvo
3330,SP,Barretos
3331,SP,Barrinha
3332,SP,Barueri
3333,SP,Bastos
3334,SP,Batatais
3335,SP,Bauru
3336,SP,Bebedouro
3337,SP,Bento de Abreu
3338,SP,Bernardino de Campos
3339,SP,Bertioga
3340,SP,Bilac
3341,SP,Birigui
3342,SP,Biritiba-mirim
3343,SP,Boa Esperança do Sul
3344,SP,Bocaina
3345,SP,Bofete
3346,SP,Boituva
3347,SP,Bom Jesus Dos Perdões
3348,SP,Bom Sucesso de Itararé
3349,SP,Borá
3350,SP,Boracéia
3351,SP,Borborema
3352,SP,Borebi
3353,SP,Botucatu
3354,SP,Bragança Paulista
3355,SP,Braúna
3356,SP,Brejo Alegre
3357,SP,Brodowski
3358,SP,Brotas
3359,SP,Buri
3360,SP,Buritama
3361,SP,Buritizal
3362,SP,Cabrália Paulista
3363,SP,Cabreúva
3364,SP,Caçapava
3365,SP,Cachoeira Paulista
3366,SP,Caconde
3367,SP,Cafelândia
3368,SP,Caiabu
3369,SP,Caieiras
3370,SP,Caiuá
3371,SP,Cajamar
3372,SP,Cajati
3373,SP,Cajobi
3374,SP,Cajuru
3375,SP,Campina do Monte Alegre
3376,SP,Campinas
3377,SP,Campo Limpo Paulista
3378,SP,Campos do Jordão
3379,SP,Campos Novos Paulista
3380,SP,Cananéia
3381,SP,Canas
3382,SP,Cândido Mota
3383,SP,Cândido Rodrigues
3384,SP,Canitar
3385,SP,Capão Bonito
3386,SP,Capela do Alto
3387,SP,Capivari
3388,SP,Caraguatatuba
3389,SP,Carapicuíba
3390,SP,Cardoso
3391,SP,Casa Branca
3392,SP,Cássia Dos Coqueiros
3393,SP,Castilho
3394,SP,Catanduva
3395,SP,Catiguá
3396,SP,Cedral
3397,SP,Cerqueira César
3398,SP,Cerquilho
3399,SP,Cesário Lange
3400,SP,Charqueada
3401,SP,Clementina
3402,SP,Colina
3403,SP,Colômbia
3404,SP,Conchal
3405,SP,Conchas
3406,SP,Cordeirópolis
3407,SP,Coroados
3408,SP,Coronel Macedo
3409,SP,Corumbataí
3410,SP,Cosmópolis
3411,SP,Cosmorama
3412,SP,Cotia
3413,SP,Cravinhos
3414,SP,Cristais Paulista
3415,SP,Cruzália
3416,SP,Cruzeiro
3417,SP,Cubatão
3418,SP,Cunha
3419,SP,Descalvado
3420,SP,Diadema
3421,SP,Dirce Reis
3422,SP,Divinolândia
3423,SP,Dobrada
3424,SP,Dois Córregos
3425,SP,Dolcinópolis
3426,SP,Dourado
3427,SP,Dracena
3428,SP,Duartina
3429,SP,Dumont
3430,SP,Echaporã
3431,SP,Eldorado
3432,SP,Elias Fausto
3433,SP,Elisiário
3434,SP,Embaúba
3435,SP,Embu
3436,SP,Embu-guaçu
3437,SP,Emilianópolis
3438,SP,Engenheiro Coelho
3439,SP,Espírito Santo do Pinhal
3440,SP,Espírito Santo do Turvo
3441,SP,Estrela D´oeste
3442,SP,Estrela do Norte
3443,SP,Euclides da Cunha Paulista
3444,SP,Fartura
3445,SP,Fernandópolis
3446,SP,Fernando Prestes
3447,SP,Fernão
3448,SP,Ferraz de Vasconcelos
3449,SP,Flora Rica
3450,SP,Floreal
3451,SP,Flórida Paulista
3452,SP,Florínia
3453,SP,Franca
3454,SP,Francisco Morato
3455,SP,Franco da Rocha
3456,SP,Gabriel Monteiro
3457,SP,Gália
3458,SP,Garça
3459,SP,Gastão Vidigal
3460,SP,Gavião Peixoto
3461,SP,General Salgado
3462,SP,Getulina
3463,SP,Glicério
3464,SP,Guaiçara
3465,SP,Guaimbê
3466,SP,Guaíra
3467,SP,Guapiaçu
3468,SP,Guapiara
3469,SP,Guará
3470,SP,Guaraçaí
3471,SP,Guaraci
3472,SP,Guarani D´oeste
3473,SP,Guarantã
3474,SP,Guararapes
3475,SP,Guararema
3476,SP,Guaratinguetá
3477,SP,Guareí
3478,SP,Guariba
3479,SP,Guarujá
3480,SP,Guarulhos
3481,SP,Guatapará
3482,SP,Guzolândia
3483,SP,Herculândia
3484,SP,Holambra
3485,SP,Hortolândia
3486,SP,Iacanga
3487,SP,Iacri
3488,SP,Iaras
3489,SP,Ibaté
3490,SP,Ibirá
3491,SP,Ibirarema
3492,SP,Ibitinga
3493,SP,Ibiúna
3494,SP,Icém
3495,SP,Iepê
3496,SP,Igaraçu do Tietê
3497,SP,Igarapava
3498,SP,Igaratá
3499,SP,Iguape
3500,SP,Ilhabela
3501,SP,Ilha Comprida
3502,SP,Ilha Solteira
3503,SP,Indaiatuba
3504,SP,Indiana
3505,SP,Indiaporã
3506,SP,Inúbia Paulista
3507,SP,Ipaussu
3508,SP,Iperó
3509,SP,Ipeúna
3510,SP,Ipiguá
3511,SP,Iporanga
3512,SP,Ipuã
3513,SP,Iracemápolis
3514,SP,Irapuã
3515,SP,Irapuru
3516,SP,Itaberá
3517,SP,Itaí
3518,SP,Itajobi
3519,SP,Itaju
3520,SP,Itanhaém
3521,SP,Itaóca
3522,SP,Itapecerica da Serra
3523,SP,Itapetininga
3524,SP,Itapeva
3525,SP,Itapevi
3526,SP,Itapira
3527,SP,Itapirapuã Paulista
3528,SP,Itápolis
3529,SP,Itaporanga
3530,SP,Itapuí
3531,SP,Itapura
3532,SP,Itaquaquecetuba
3533,SP,Itararé
3534,SP,Itariri
3535,SP,Itatiba
3536,SP,Itatinga
3537,SP,Itirapina
3538,SP,Itirapuã
3539,SP,Itobi
3540,SP,Itu
3541,SP,Itupeva
3542,SP,Ituverava
3543,SP,Jaborandi
3544,SP,Jaboticabal
3545,SP,Jacareí
3546,SP,Jaci
3547,SP,Jacupiranga
3548,SP,Jaguariúna
3549,SP,Jales
3550,SP,Jambeiro
3551,SP,Jandira
3552,SP,Jardinópolis
3553,SP,Jarinu
3554,SP,Jaú
3555,SP,Jeriquara
3556,SP,Joanópolis
3557,SP,João Ramalho
3558,SP,José Bonifácio
3559,SP,Júlio Mesquita
3560,SP,Jumirim
3561,SP,Jundiaí
3562,SP,Junqueirópolis
3563,SP,Juquiá
3564,SP,Juquitiba
3565,SP,Lagoinha
3566,SP,Laranjal Paulista
3567,SP,Lavínia
3568,SP,Lavrinhas
3569,SP,Leme
3570,SP,Lençóis Paulista
3571,SP,Limeira
3572,SP,Lindóia
3573,SP,Lins
3574,SP,Lorena
3575,SP,Lourdes
3576,SP,Louveira
3577,SP,Lucélia
3578,SP,Lucianópolis
3579,SP,Luís Antônio
3580,SP,Luiziânia
3581,SP,Lupércio
3582,SP,Lutécia
3583,SP,Macatuba
3584,SP,Macaubal
3585,SP,Macedônia
3586,SP,Magda
3587,SP,Mairinque
3588,SP,Mairiporã
3589,SP,Manduri
3590,SP,Marabá Paulista
3591,SP,Maracaí
3592,SP,Marapoama
3593,SP,Mariápolis
3594,SP,Marília
3595,SP,Marinópolis
3596,SP,Martinópolis
3597,SP,Matão
3598,SP,Mauá
3599,SP,Mendonça
3600,SP,Meridiano
3601,SP,Mesópolis
3602,SP,Miguelópolis
3603,SP,Mineiros do Tietê
3604,SP,Miracatu
3605,SP,Mira Estrela
3606,SP,Mirandópolis
3607,SP,Mirante do Paranapanema
3608,SP,Mirassol
3609,SP,Mirassolândia
3610,SP,Mococa
3611,SP,Moji Das Cruzes
3612,SP,Mogi Guaçu
3613,SP,Moji-mirim
3614,SP,Mombuca
3615,SP,Monções
3616,SP,Mongaguá
3617,SP,Monte Alegre do Sul
3618,SP,Monte Alto
3619,SP,Monte Aprazível
3620,SP,Monte Azul Paulista
3621,SP,Monte Castelo
3622,SP,Monteiro Lobato
3623,SP,Monte Mor
3624,SP,Morro Agudo
3625,SP,Morungaba
3626,SP,Motuca
3627,SP,Murutinga do Sul
3628,SP,Nantes
3629,SP,Narandiba
3630,SP,Natividade da Serra
3631,SP,Nazaré Paulista
3632,SP,Neves Paulista
3633,SP,Nhandeara
3634,SP,Nipoã
3635,SP,Nova Aliança
3636,SP,Nova Campina
3637,SP,Nova Canaã Paulista
3638,SP,Nova Castilho
3639,SP,Nova Europa
3640,SP,Nova Granada
3641,SP,Nova Guataporanga
3642,SP,Nova Independência
3643,SP,Novais
3644,SP,Nova Luzitânia
3645,SP,Nova Odessa
3646,SP,Novo Horizonte
3647,SP,Nuporanga
3648,SP,Ocauçu
3649,SP,Óleo
3650,SP,Olímpia
3651,SP,Onda Verde
3652,SP,Oriente
3653,SP,Orindiúva
3654,SP,Orlândia
3655,SP,Osasco
3656,SP,Oscar Bressane
3657,SP,Osvaldo Cruz
3658,SP,Ourinhos
3659,SP,Ouroeste
3660,SP,Ouro Verde
3661,SP,Pacaembu
3662,SP,Palestina
3663,SP,Palmares Paulista
3664,SP,Palmeira D´oeste
3665,SP,Palmital
3666,SP,Panorama
3667,SP,Paraguaçu Paulista
3668,SP,Paraibuna
3669,SP,Paraíso
3670,SP,Paranapanema
3671,SP,Paranapuã
3672,SP,Parapuã
3673,SP,Pardinho
3674,SP,Pariquera-açu
3675,SP,Parisi
3676,SP,Patrocínio Paulista
3677,SP,Paulicéia
3678,SP,Paulínia
3679,SP,Paulistânia
3680,SP,Paulo de Faria
3681,SP,Pederneiras
3682,SP,Pedra Bela
3683,SP,Pedranópolis
3684,SP,Pedregulho
3685,SP,Pedreira
3686,SP,Pedrinhas Paulista
3687,SP,Pedro de Toledo
3688,SP,Penápolis
3689,SP,Pereira Barreto
3690,SP,Pereiras
3691,SP,Peruíbe
3692,SP,Piacatu
3693,SP,Piedade
3694,SP,Pilar do Sul
3695,SP,Pindamonhangaba
3696,SP,Pindorama
3697,SP,Pinhalzinho
3698,SP,Piquerobi
3699,SP,Piquete
3700,SP,Piracaia
3701,SP,Piracicaba
3702,SP,Piraju
3703,SP,Pirajuí
3704,SP,Pirangi
3705,SP,Pirapora do Bom Jesus
3706,SP,Pirapozinho
3707,SP,Pirassununga
3708,SP,Piratininga
3709,SP,Pitangueiras
3710,SP,Planalto
3711,SP,Platina
3712,SP,Poá
3713,SP,Poloni
3714,SP,Pompéia
3715,SP,Pongaí
3716,SP,Pontal
3717,SP,Pontalinda
3718,SP,Pontes Gestal
3719,SP,Populina
3720,SP,Porangaba
3721,SP,Porto Feliz
3722,SP,Porto Ferreira
3723,SP,Potim
3724,SP,Potirendaba
3725,SP,Pracinha
3726,SP,Pradópolis
3727,SP,Praia Grande
3728,SP,Pratânia
3729,SP,Presidente Alves
3730,SP,Presidente Bernardes
3731,SP,Presidente Epitácio
3732,SP,Presidente Prudente
3733,SP,Presidente Venceslau
3734,SP,Promissão
3735,SP,Quadra
3736,SP,Quatá
3737,SP,Queiroz
3738,SP,Queluz
3739,SP,Quintana
3740,SP,Rafard
3741,SP,Rancharia
3742,SP,Redenção da Serra
3743,SP,Regente Feijó
3744,SP,Reginópolis
3745,SP,Registro
3746,SP,Restinga
3747,SP,Ribeira
3748,SP,Ribeirão Bonito
3749,SP,Ribeirão Branco
3750,SP,Ribeirão Corrente
3751,SP,Ribeirão do Sul
3752,SP,Ribeirão Dos Índios
3753,SP,Ribeirão Grande
3754,SP,Ribeirão Pires
3755,SP,Ribeirão Preto
3756,SP,Riversul
3757,SP,Rifaina
3758,SP,Rincão
3759,SP,Rinópolis
3760,SP,Rio Claro
3761,SP,Rio Das Pedras
3762,SP,Rio Grande da Serra
3763,SP,Riolândia
3764,SP,Rosana
3765,SP,Roseira
3766,SP,Rubiácea
3767,SP,Rubinéia
3768,SP,Sabino
3769,SP,Sagres
3770,SP,Sales
3771,SP,Sales Oliveira
3772,SP,Salesópolis
3773,SP,Salmourão
3774,SP,Saltinho
3775,SP,Salto
3776,SP,Salto de Pirapora
3777,SP,Salto Grande
3778,SP,Sandovalina
3779,SP,Santa Adélia
3780,SP,Santa Albertina
3781,SP,Santa Bárbara D´oeste
3782,SP,Santa Branca
3783,SP,Santa Clara D´oeste
3784,SP,Santa Cruz da Conceição
3785,SP,Santa Cruz da Esperança
3786,SP,Santa Cruz Das Palmeiras
3787,SP,Santa Cruz do Rio Pardo
3788,SP,Santa Ernestina
3789,SP,Santa fé do Sul
3790,SP,Santa Gertrudes
3791,SP,Santa Isabel
3792,SP,Santa Lúcia
3793,SP,Santa Maria da Serra
3794,SP,Santa Mercedes
3795,SP,Santana da Ponte Pensa
3796,SP,Santana de Parnaíba
3797,SP,Santa Rita D´oeste
3798,SP,Santa Rita do Passa Quatro
3799,SP,Santa Rosa de Viterbo
3800,SP,Santa Salete
3801,SP,Santo Anastácio
3802,SP,Santo André
3803,SP,Santo Antônio da Alegria
3804,SP,Santo Antônio de Posse
3805,SP,Santo Antônio do Aracanguá
3806,SP,Santo Antônio do Jardim
3807,SP,Santo Antônio do Pinhal
3808,SP,Santo Expedito
3809,SP,Santópolis do Aguapeí
3810,SP,Santos
3811,SP,São Bento do Sapucaí
3812,SP,São Bernardo do Campo
3813,SP,São Caetano do Sul
3814,SP,São Carlos
3815,SP,São Francisco
3816,SP,São João da Boa Vista
3817,SP,São João Das Duas Pontes
3818,SP,São João de Iracema
3819,SP,São João do Pau D´alho
3820,SP,São Joaquim da Barra
3821,SP,São José da Bela Vista
3822,SP,São José do Barreiro
3823,SP,São José do Rio Pardo
3824,SP,São José do Rio Preto
3825,SP,São José Dos Campos
3826,SP,São Lourenço da Serra
3827,SP,São Luís do Paraitinga
3828,SP,São Manuel
3829,SP,São Miguel Arcanjo
3830,SP,São Paulo
3831,SP,São Pedro
3832,SP,São Pedro do Turvo
3833,SP,São Roque
3834,SP,São Sebastião
3835,SP,São Sebastião da Grama
3836,SP,São Simão
3837,SP,São Vicente
3838,SP,Sarapuí
3839,SP,Sarutaiá
3840,SP,Sebastianópolis do Sul
3841,SP,Serra Azul
3842,SP,Serrana
3843,SP,Serra Negra
3844,SP,Sertãozinho
3845,SP,Sete Barras
3846,SP,Severínia
3847,SP,Silveiras
3848,SP,Socorro
3849,SP,Sorocaba
3850,SP,Sud Mennucci
3851,SP,Sumaré
3852,SP,Suzano
3853,SP,Suzanápolis
3854,SP,Tabapuã
3855,SP,Tabatinga
3856,SP,Taboão da Serra
3857,SP,Taciba
3858,SP,Taguaí
3859,SP,Taiaçu
3860,SP,Taiúva
3861,SP,Tambaú
3862,SP,Tanabi
3863,SP,Tapiraí
3864,SP,Tapiratiba
3865,SP,Taquaral
3866,SP,Taquaritinga
3867,SP,Taquarituba
3868,SP,Taquarivaí
3869,SP,Tarabai
3870,SP,Tarumã
3871,SP,Tatuí
3872,SP,Taubaté
3873,SP,Tejupá
3874,SP,Teodoro Sampaio
3875,SP,Terra Roxa
3876,SP,Tietê
3877,SP,Timburi
3878,SP,Torre de Pedra
3879,SP,Torrinha
3880,SP,Trabiju
3881,SP,Tremembé
3882,SP,Três Fronteiras
3883,SP,Tuiuti
3884,SP,Tupã
3885,SP,Tupi Paulista
3886,SP,Turiúba
3887,SP,Turmalina
3888,SP,Ubarana
3889,SP,Ubatuba
3890,SP,Ubirajara
3891,SP,Uchoa
3892,SP,União Paulista
3893,SP,Urânia
3894,SP,Uru
3895,SP,Urupês
3896,SP,Valentim Gentil
3897,SP,Valinhos
3898,SP,Valparaíso
3899,SP,Vargem
3900,SP,Vargem Grande do Sul
3901,SP,Vargem Grande Paulista
3902,SP,Várzea Paulista
3903,SP,Vera Cruz
3904,SP,Vinhedo
3905,SP,Viradouro
3906,SP,Vista Alegre do Alto
3907,SP,Vitória Brasil
3908,SP,Votorantim
3909,SP,Votuporanga
3910,SP,Zacarias
3911,SP,Chavantes
3912,SP,Estiva Gerbi
3913,PR,Abatiá
3914,PR,Adrianópolis
3915,PR,Agudos do Sul
3916,PR,Almirante Tamandaré
3917,PR,Altamira do Paraná
3918,PR,Altônia
3919,PR,Alto Paraná
3920,PR,Alto Piquiri
3921,PR,Alvorada do Sul
3922,PR,Amaporã
3923,PR,Ampére
3924,PR,Anahy
3925,PR,Andirá
3926,PR,Ângulo
3927,PR,Antonina
3928,PR,Antônio Olinto
3929,PR,Apucarana
3930,PR,Arapongas
3931,PR,Arapoti
3932,PR,Arapuã
3933,PR,Araruna
3934,PR,Araucária
3935,PR,Ariranha do Ivaí
3936,PR,Assaí
3937,PR,Assis Chateaubriand
3938,PR,Astorga
3939,PR,Atalaia
3940,PR,Balsa Nova
3941,PR,Bandeirantes
3942,PR,Barbosa Ferraz
3943,PR,Barracão
3944,PR,Barra do Jacaré
3945,PR,Bela Vista da Caroba
3946,PR,Bela Vista do Paraíso
3947,PR,Bituruna
3948,PR,Boa Esperança
3949,PR,Boa Esperança do Iguaçu
3950,PR,Boa Ventura de São Roque
3951,PR,Boa Vista da Aparecida
3952,PR,Bocaiúva do Sul
3953,PR,Bom Jesus do Sul
3954,PR,Bom Sucesso
3955,PR,Bom Sucesso do Sul
3956,PR,Borrazópolis
3957,PR,Braganey
3958,PR,Brasilândia do Sul
3959,PR,Cafeara
3960,PR,Cafelândia
3961,PR,Cafezal do Sul
3962,PR,Califórnia
3963,PR,Cambará
3964,PR,Cambé
3965,PR,Cambira
3966,PR,Campina da Lagoa
3967,PR,Campina do Simão
3968,PR,Campina Grande do Sul
3969,PR,Campo Bonito
3970,PR,Campo do Tenente
3971,PR,Campo Largo
3972,PR,Campo Magro
3973,PR,Campo Mourão
3974,PR,Cândido de Abreu
3975,PR,Candói
3976,PR,Cantagalo
3977,PR,Capanema
3978,PR,Capitão Leônidas Marques
3979,PR,Carambeí
3980,PR,Carlópolis
3981,PR,Cascavel
3982,PR,Castro
3983,PR,Catanduvas
3984,PR,Centenário do Sul
3985,PR,Cerro Azul
3986,PR,Céu Azul
3987,PR,Chopinzinho
3988,PR,Cianorte
3989,PR,Cidade Gaúcha
3990,PR,Clevelândia
3991,PR,Colombo
3992,PR,Colorado
3993,PR,Congonhinhas
3994,PR,Conselheiro Mairinck
3995,PR,Contenda
3996,PR,Corbélia
3997,PR,Cornélio Procópio
3998,PR,Coronel Domingos Soares
3999,PR,Coronel Vivida
4000,PR,Corumbataí do Sul
4001,PR,Cruzeiro do Iguaçu
4002,PR,Cruzeiro do Oeste
4003,PR,Cruzeiro do Sul
4004,PR,Cruz Machado
4005,PR,Cruzmaltina
4006,PR,Curitiba
4007,PR,Curiúva
4008,PR,Diamante do Norte
4009,PR,Diamante do Sul
4010,PR,Diamante D´oeste
4011,PR,Dois Vizinhos
4012,PR,Douradina
4013,PR,Doutor Camargo
4014,PR,Enéas Marques
4015,PR,Engenheiro Beltrão
4016,PR,Esperança Nova
4017,PR,Entre Rios do Oeste
4018,PR,Espigão Alto do Iguaçu
4019,PR,Farol
4020,PR,Faxinal
4021,PR,Fazenda Rio Grande
4022,PR,Fênix
4023,PR,Fernandes Pinheiro
4024,PR,Figueira
4025,PR,Floraí
4026,PR,Flor da Serra do Sul
4027,PR,Floresta
4028,PR,Florestópolis
4029,PR,Flórida
4030,PR,Formosa do Oeste
4031,PR,Foz do Iguaçu
4032,PR,Francisco Alves
4033,PR,Francisco Beltrão
4034,PR,Foz do Jordão
4035,PR,General Carneiro
4036,PR,Godoy Moreira
4037,PR,Goioerê
4038,PR,Goioxim
4039,PR,Grandes Rios
4040,PR,Guaíra
4041,PR,Guairaçá
4042,PR,Guamiranga
4043,PR,Guapirama
4044,PR,Guaporema
4045,PR,Guaraci
4046,PR,Guaraniaçu
4047,PR,Guarapuava
4048,PR,Guaraqueçaba
4049,PR,Guaratuba
4050,PR,Honório Serpa
4051,PR,Ibaiti
4052,PR,Ibema
4053,PR,Ibiporã
4054,PR,Icaraíma
4055,PR,Iguaraçu
4056,PR,Iguatu
4057,PR,Imbaú
4058,PR,Imbituva
4059,PR,Inácio Martins
4060,PR,Inajá
4061,PR,Indianópolis
4062,PR,Ipiranga
4063,PR,Iporã
4064,PR,Iracema do Oeste
4065,PR,Irati
4066,PR,Iretama
4067,PR,Itaguajé
4068,PR,Itaipulândia
4069,PR,Itambaracá
4070,PR,Itambé
4071,PR,Itapejara D´oeste
4072,PR,Itaperuçu
4073,PR,Itaúna do Sul
4074,PR,Ivaí
4075,PR,Ivaiporã
4076,PR,Ivaté
4077,PR,Ivatuba
4078,PR,Jaboti
